name,genotype,farm,cell,longitude,latitude,X_epsg102022,Y_epsg102022,tick,cape,cattle,bio5,ECF
176,0,77,15,-0.93932391232698,-1.3120483716744653,-0.941810236698542,-1.3114882370107532,-0.4317177206194646,0.0032607972044403,1.4430736305739251,-1.1810582505417548,0
255,0,78,23,-0.4952429766300305,-1.0442671219601602,-0.4979872153594077,-1.0441271348832373,0.0699219299757215,-0.1648505777447715,-0.1412403176155325,-0.9100140082869426,0
578,0,199,50,1.5940264419534669,0.4430819719148327,1.5931978299625076,0.4391859264882792,-0.6555705207589418,-0.325457471221877,-0.2792859812286789,0.0830001695991918,0
496,1,168,44,1.3768580540386557,0.8529403809115444,1.3780504801876463,0.8500772710579624,-0.6439602409120488,-0.3265869820018752,-0.6116348258812866,0.6002761452560629,0
391,0,51,36,0.57995013621446,-0.5071314095103265,0.5768204493680223,-0.5088994096320659,2.1170354472406654,0.5072258482814985,0.1520533236879286,-0.4752514767879925,0
212,0,150,19,-0.5477343722016424,0.8255985212741753,-0.5447649590359451,0.8286987483836623,-0.5347959424686121,0.0999675239201607,-0.7953751757300029,1.191903241700018,0
390,0,51,36,0.57995013621446,-0.5071314095103265,0.5768204493680223,-0.5088994096320659,2.1170354472406654,0.5072258482814985,0.1520533236879286,-0.4752514767879925,0
426,0,165,39,0.8558182823661699,0.8386503626354341,0.8574586071249574,0.8376083785512576,-0.6837682351522216,-0.3241157431472135,-0.6775474909909692,0.785017565133517,0
472,0,59,42,0.9620234096515036,-0.5848525027949197,0.957866702347348,-0.5880405153099411,2.983835301536544,-0.2909813292553954,-0.0989029830981033,-0.2375876287595036,0
512,0,196,45,1.15152694680196,0.4262500492664685,1.1511781072463878,0.4239528461797743,-0.5925587088716847,-0.3224270582160177,0.1629729479761052,0.6487445568426211,0
573,0,173,49,1.6832707920352898,0.5356903217521114,1.6827461216900297,0.531529329410368,-0.7084977908305423,-0.3265876914861891,0.5973267036650699,-0.529529733949627,0
410,0,138,38,1.0018218457361263,1.0864314134780784,1.004315991544623,1.0849025868803632,-0.7005358380550407,-0.3263876990183734,-0.7953751757300029,0.5937730701607127,0
227,0,179,20,-0.3386251158000643,0.24415064205989,-0.3376811263556677,0.2462811238644851,-0.2568175247696983,4.153779731089792,-0.5681082394425632,0.1568972970047219,0
583,0,200,50,1.6173267930465631,0.3924114025229373,1.6162445166527355,0.3883814764129487,-0.6482278564759569,-0.3264542190670813,-0.7953751757300029,0.0943505624160212,0
345,0,132,32,0.5409596850373349,1.2461635188875446,0.5444205844414487,1.2461055052755858,-0.7065532451156009,-0.3255088723323893,-0.7636161668155121,0.9843080055348364,0
514,0,196,45,1.15152694680196,0.4262500492664685,1.1511781072463878,0.4239528461797743,-0.5925587088716847,-0.3224270582160177,0.1629729479761052,0.6487445568426211,0
311,0,9,29,0.1192951511329725,-0.1351539307144555,0.1183075460942224,-0.1348346852302835,0.0443986452557686,-0.0042963164513397,-0.1143400451741374,-0.1905145806570422,0
112,1,106,9,-0.8008270121574398,1.6102457990028332,-0.7953974326290626,1.6136307105623384,-0.6986283951636274,-0.3261007205396635,0.9336599919378108,1.0618119021667958,1
119,0,137,9,-0.7210920229099931,1.6275875592043716,-0.7156492936344083,1.630757155293079,-0.6788653869415378,-0.3261068638523249,0.3913817462098522,1.3547334975493237,1
191,1,159,17,-0.2177588606633256,1.5036679002085822,-0.2129388300348049,1.5056669772818143,-0.6527488696452608,-0.2944582527699186,0.057388725350208,2.1021003783890038,1
192,0,170,17,-0.2324821411999225,1.4992468802832004,-0.2276684191193373,1.501290626080587,-0.6526766280715747,-0.3052358642430475,0.6279948759555264,2.0906662450877773,1
280,0,43,25,-0.1862474492709721,1.5689926575574258,-0.1812334163725038,1.5708361611214676,-0.6338094427592221,-0.2748290822885786,-0.5741283953549781,2.3368454921041324,1
339,0,83,31,0.4528409891428773,1.4788315279753834,0.4572137722861693,1.4788868419624728,-0.6929793464676696,-0.3265542068854832,-0.7419137134170051,1.3431334408581197,1
401,1,105,37,0.8275733398733586,1.6211927396088437,0.8322955927084144,1.619882538147446,-0.6990166985943488,-0.326460583634905,-0.7940893010318869,0.7500674734377103,1
403,0,116,37,0.8277045510976503,1.4800187211349178,0.8318760559287544,1.4788613832092428,-0.6991029833215222,-0.3252785400180986,-0.7303161802957717,0.7880468993750198,1
405,0,117,37,0.8178498975677634,1.5044035229638764,0.8221217827954735,1.5032555192476935,-0.6972441570038722,-0.3264955042148608,-0.6745481061598447,0.8590041572420645,1
124,0,118,10,-0.9168246402874708,1.2271757117286153,-0.9123915651810084,1.2311494492447883,-0.6748980988082829,-0.3256509104957539,-0.3906013964823038,0.3418385282738638,1
